task_id,title,difficulty,mood,reflection,completed_at
1,mndms,Easy,Calm,"d,sfmn,dsf",2025-12-12 22:53:01
2,"dns,snf",Easy,Calm,noice,2025-12-12 22:53:13
1,"d,mnf,sm",Easy,Calm,"dnfs,mdf",2025-12-12 22:57:44
2,"m,sdfn,smdf",Hard,Calm,nicce :_,2025-12-12 22:58:03
1,"fn,msdf",Easy,Happy,"kdsmfksdmfs,",2025-12-12 23:08:48
1,jh,Easy,Happy,bkjlsfjsa,2025-12-15 04:07:42
1,studying python,Easy,Happy,happy :),2025-12-15 04:11:32
2,ww,Easy,Calm,meow,2025-12-15 14:03:40
2,meow,Easy,Happy,happy,2025-12-15 21:16:41
2,m,Easy,Tired,sad,2025-12-15 22:31:21
1,meow,Easy,Tired,meow dead,2025-12-15 23:11:58
